source,filename,relative_path,caption,label
results/acs_income/final/plots/pareto_accuracy_vs_joint_subset_mi_sensitive_logistic_regression.png,acs-income_pareto-accuracy-vs-joint-subset-mi-sensitive-logistic-regression.png,figures/acs-income_pareto-accuracy-vs-joint-subset-mi-sensitive-logistic-regression.png,Pareto frontier for accuracy and joint sensitive leakage.,fig:acs-income-pareto-accuracy-vs-joint-subset-mi-sensitive-logistic-regression
results/acs_income/final/plots/pareto_accuracy_vs_joint_subset_mi_sensitive_random_forest.png,acs-income_pareto-accuracy-vs-joint-subset-mi-sensitive-random-forest.png,figures/acs-income_pareto-accuracy-vs-joint-subset-mi-sensitive-random-forest.png,Pareto frontier for accuracy and joint sensitive leakage.,fig:acs-income-pareto-accuracy-vs-joint-subset-mi-sensitive-random-forest
results/compas/final/plots/pareto_accuracy_vs_dpd_gradient_boosting.png,compas_pareto-accuracy-vs-dpd-gradient-boosting.png,figures/compas_pareto-accuracy-vs-dpd-gradient-boosting.png,Pareto frontier for accuracy and demographic parity difference.,fig:compas-pareto-accuracy-vs-dpd-gradient-boosting
results/compas/final/plots/pareto_accuracy_vs_dpd_logistic_regression.png,compas_pareto-accuracy-vs-dpd-logistic-regression.png,figures/compas_pareto-accuracy-vs-dpd-logistic-regression.png,Pareto frontier for accuracy and demographic parity difference.,fig:compas-pareto-accuracy-vs-dpd-logistic-regression
results/compas/final/plots/pareto_accuracy_vs_dpd_random_forest.png,compas_pareto-accuracy-vs-dpd-random-forest.png,figures/compas_pareto-accuracy-vs-dpd-random-forest.png,Pareto frontier for accuracy and demographic parity difference.,fig:compas-pareto-accuracy-vs-dpd-random-forest
results/compas/final/plots/pareto_accuracy_vs_equal_opportunity_difference_gradient_boosting.png,compas_pareto-accuracy-vs-equal-opportunity-difference-gradient-boosting.png,figures/compas_pareto-accuracy-vs-equal-opportunity-difference-gradient-boosting.png,Pareto frontier for accuracy and equal opportunity difference.,fig:compas-pareto-accuracy-vs-equal-opportunity-difference-gradient-boosting
results/compas/final/plots/pareto_accuracy_vs_equal_opportunity_difference_logistic_regression.png,compas_pareto-accuracy-vs-equal-opportunity-difference-logistic-regression.png,figures/compas_pareto-accuracy-vs-equal-opportunity-difference-logistic-regression.png,Pareto frontier for accuracy and equal opportunity difference.,fig:compas-pareto-accuracy-vs-equal-opportunity-difference-logistic-regression
results/compas/final/plots/pareto_accuracy_vs_equal_opportunity_difference_random_forest.png,compas_pareto-accuracy-vs-equal-opportunity-difference-random-forest.png,figures/compas_pareto-accuracy-vs-equal-opportunity-difference-random-forest.png,Pareto frontier for accuracy and equal opportunity difference.,fig:compas-pareto-accuracy-vs-equal-opportunity-difference-random-forest
results/compas/final/plots/pareto_accuracy_vs_equalized_odds_difference_gradient_boosting.png,compas_pareto-accuracy-vs-equalized-odds-difference-gradient-boosting.png,figures/compas_pareto-accuracy-vs-equalized-odds-difference-gradient-boosting.png,Pareto frontier for accuracy and equalized odds difference.,fig:compas-pareto-accuracy-vs-equalized-odds-difference-gradient-boosting
results/compas/final/plots/pareto_accuracy_vs_equalized_odds_difference_logistic_regression.png,compas_pareto-accuracy-vs-equalized-odds-difference-logistic-regression.png,figures/compas_pareto-accuracy-vs-equalized-odds-difference-logistic-regression.png,Pareto frontier for accuracy and equalized odds difference.,fig:compas-pareto-accuracy-vs-equalized-odds-difference-logistic-regression
results/compas/final/plots/pareto_accuracy_vs_equalized_odds_difference_random_forest.png,compas_pareto-accuracy-vs-equalized-odds-difference-random-forest.png,figures/compas_pareto-accuracy-vs-equalized-odds-difference-random-forest.png,Pareto frontier for accuracy and equalized odds difference.,fig:compas-pareto-accuracy-vs-equalized-odds-difference-random-forest
results/compas/final/plots/pareto_accuracy_vs_joint_subset_mi_sensitive_gradient_boosting.png,compas_pareto-accuracy-vs-joint-subset-mi-sensitive-gradient-boosting.png,figures/compas_pareto-accuracy-vs-joint-subset-mi-sensitive-gradient-boosting.png,Pareto frontier for accuracy and joint sensitive leakage.,fig:compas-pareto-accuracy-vs-joint-subset-mi-sensitive-gradient-boosting
results/compas/final/plots/pareto_accuracy_vs_joint_subset_mi_sensitive_logistic_regression.png,compas_pareto-accuracy-vs-joint-subset-mi-sensitive-logistic-regression.png,figures/compas_pareto-accuracy-vs-joint-subset-mi-sensitive-logistic-regression.png,Pareto frontier for accuracy and joint sensitive leakage.,fig:compas-pareto-accuracy-vs-joint-subset-mi-sensitive-logistic-regression
results/compas/final/plots/pareto_accuracy_vs_joint_subset_mi_sensitive_random_forest.png,compas_pareto-accuracy-vs-joint-subset-mi-sensitive-random-forest.png,figures/compas_pareto-accuracy-vs-joint-subset-mi-sensitive-random-forest.png,Pareto frontier for accuracy and joint sensitive leakage.,fig:compas-pareto-accuracy-vs-joint-subset-mi-sensitive-random-forest
results/german_credit/final/plots/pareto_accuracy_vs_dpd_gradient_boosting.png,german-credit_pareto-accuracy-vs-dpd-gradient-boosting.png,figures/german-credit_pareto-accuracy-vs-dpd-gradient-boosting.png,Pareto frontier for accuracy and demographic parity difference.,fig:german-credit-pareto-accuracy-vs-dpd-gradient-boosting
results/german_credit/final/plots/pareto_accuracy_vs_dpd_logistic_regression.png,german-credit_pareto-accuracy-vs-dpd-logistic-regression.png,figures/german-credit_pareto-accuracy-vs-dpd-logistic-regression.png,Pareto frontier for accuracy and demographic parity difference.,fig:german-credit-pareto-accuracy-vs-dpd-logistic-regression
results/german_credit/final/plots/pareto_accuracy_vs_dpd_random_forest.png,german-credit_pareto-accuracy-vs-dpd-random-forest.png,figures/german-credit_pareto-accuracy-vs-dpd-random-forest.png,Pareto frontier for accuracy and demographic parity difference.,fig:german-credit-pareto-accuracy-vs-dpd-random-forest
results/german_credit/final/plots/pareto_accuracy_vs_equal_opportunity_difference_gradient_boosting.png,german-credit_pareto-accuracy-vs-equal-opportunity-difference-gradient-boosting.png,figures/german-credit_pareto-accuracy-vs-equal-opportunity-difference-gradient-boosting.png,Pareto frontier for accuracy and equal opportunity difference.,fig:german-credit-pareto-accuracy-vs-equal-opportunity-difference-gradient-boosting
results/german_credit/final/plots/pareto_accuracy_vs_equal_opportunity_difference_logistic_regression.png,german-credit_pareto-accuracy-vs-equal-opportunity-difference-logistic-regression.png,figures/german-credit_pareto-accuracy-vs-equal-opportunity-difference-logistic-regression.png,Pareto frontier for accuracy and equal opportunity difference.,fig:german-credit-pareto-accuracy-vs-equal-opportunity-difference-logistic-regression
results/german_credit/final/plots/pareto_accuracy_vs_equal_opportunity_difference_random_forest.png,german-credit_pareto-accuracy-vs-equal-opportunity-difference-random-forest.png,figures/german-credit_pareto-accuracy-vs-equal-opportunity-difference-random-forest.png,Pareto frontier for accuracy and equal opportunity difference.,fig:german-credit-pareto-accuracy-vs-equal-opportunity-difference-random-forest
results/german_credit/final/plots/pareto_accuracy_vs_equalized_odds_difference_gradient_boosting.png,german-credit_pareto-accuracy-vs-equalized-odds-difference-gradient-boosting.png,figures/german-credit_pareto-accuracy-vs-equalized-odds-difference-gradient-boosting.png,Pareto frontier for accuracy and equalized odds difference.,fig:german-credit-pareto-accuracy-vs-equalized-odds-difference-gradient-boosting
results/german_credit/final/plots/pareto_accuracy_vs_equalized_odds_difference_logistic_regression.png,german-credit_pareto-accuracy-vs-equalized-odds-difference-logistic-regression.png,figures/german-credit_pareto-accuracy-vs-equalized-odds-difference-logistic-regression.png,Pareto frontier for accuracy and equalized odds difference.,fig:german-credit-pareto-accuracy-vs-equalized-odds-difference-logistic-regression
results/german_credit/final/plots/pareto_accuracy_vs_equalized_odds_difference_random_forest.png,german-credit_pareto-accuracy-vs-equalized-odds-difference-random-forest.png,figures/german-credit_pareto-accuracy-vs-equalized-odds-difference-random-forest.png,Pareto frontier for accuracy and equalized odds difference.,fig:german-credit-pareto-accuracy-vs-equalized-odds-difference-random-forest
results/german_credit/final/plots/pareto_accuracy_vs_joint_subset_mi_sensitive_gradient_boosting.png,german-credit_pareto-accuracy-vs-joint-subset-mi-sensitive-gradient-boosting.png,figures/german-credit_pareto-accuracy-vs-joint-subset-mi-sensitive-gradient-boosting.png,Pareto frontier for accuracy and joint sensitive leakage.,fig:german-credit-pareto-accuracy-vs-joint-subset-mi-sensitive-gradient-boosting
results/german_credit/final/plots/pareto_accuracy_vs_joint_subset_mi_sensitive_logistic_regression.png,german-credit_pareto-accuracy-vs-joint-subset-mi-sensitive-logistic-regression.png,figures/german-credit_pareto-accuracy-vs-joint-subset-mi-sensitive-logistic-regression.png,Pareto frontier for accuracy and joint sensitive leakage.,fig:german-credit-pareto-accuracy-vs-joint-subset-mi-sensitive-logistic-regression
results/german_credit/final/plots/pareto_accuracy_vs_joint_subset_mi_sensitive_random_forest.png,german-credit_pareto-accuracy-vs-joint-subset-mi-sensitive-random-forest.png,figures/german-credit_pareto-accuracy-vs-joint-subset-mi-sensitive-random-forest.png,Pareto frontier for accuracy and joint sensitive leakage.,fig:german-credit-pareto-accuracy-vs-joint-subset-mi-sensitive-random-forest
